Axial Position x, Normalized Nozzle Radius r
-5.00,2.569047
-4.99,2.569047
-4.98,2.569047
-4.97,2.569047
-4.96,2.569047
-4.95,2.569047
-4.94,2.569047
-4.93,2.569047
-4.92,2.569047
-4.91,2.569047
-4.90,2.569047
-4.89,2.569047
-4.88,2.569047
-4.87,2.569047
-4.86,2.569047
-4.85,2.569047
-4.84,2.569047
-4.83,2.569047
-4.82,2.569047
-4.81,2.569047
-4.80,2.569047
-4.79,2.569047
-4.78,2.569047
-4.77,2.569047
-4.76,2.569047
-4.75,2.569047
-4.74,2.569047
-4.73,2.569047
-4.72,2.569047
-4.71,2.569047
-4.70,2.569047
-4.69,2.569047
-4.68,2.569047
-4.67,2.569047
-4.66,2.569047
-4.65,2.569047
-4.64,2.569047
-4.63,2.569047
-4.62,2.569047
-4.61,2.569047
-4.60,2.569047
-4.59,2.569047
-4.58,2.569047
-4.57,2.569047
-4.56,2.569047
-4.55,2.569047
-4.54,2.569047
-4.53,2.569047
-4.52,2.569047
-4.51,2.569047
-4.50,2.569047
-4.49,2.569047
-4.48,2.569047
-4.47,2.569047
-4.46,2.569047
-4.45,2.569047
-4.44,2.569047
-4.43,2.569047
-4.42,2.569047
-4.41,2.569047
-4.40,2.569047
-4.39,2.569047
-4.38,2.569047
-4.37,2.569047
-4.36,2.569047
-4.35,2.569047
-4.34,2.569047
-4.33,2.569047
-4.32,2.569047
-4.31,2.569047
-4.30,2.569047
-4.29,2.569047
-4.28,2.569047
-4.27,2.569047
-4.26,2.569047
-4.25,2.569047
-4.24,2.569047
-4.23,2.569047
-4.22,2.569047
-4.21,2.569047
-4.20,2.569047
-4.19,2.569047
-4.18,2.569047
-4.17,2.569047
-4.16,2.569047
-4.15,2.569047
-4.14,2.569047
-4.13,2.569047
-4.12,2.569047
-4.11,2.569047
-4.10,2.569047
-4.09,2.569047
-4.08,2.569047
-4.07,2.569047
-4.06,2.569047
-4.05,2.569047
-4.04,2.569047
-4.03,2.569047
-4.02,2.569047
-4.01,2.569047
-4.00,2.569047
-3.99,2.569047
-3.98,2.569047
-3.97,2.569047
-3.96,2.569047
-3.95,2.569047
-3.94,2.569047
-3.93,2.569047
-3.92,2.569047
-3.91,2.569047
-3.90,2.569047
-3.89,2.569047
-3.88,2.569047
-3.87,2.569047
-3.86,2.569047
-3.85,2.569047
-3.84,2.569047
-3.83,2.569047
-3.82,2.569047
-3.81,2.569047
-3.80,2.569047
-3.79,2.569047
-3.78,2.569047
-3.77,2.569047
-3.76,2.569047
-3.75,2.569047
-3.74,2.569047
-3.73,2.569047
-3.72,2.569047
-3.71,2.569047
-3.70,2.569047
-3.69,2.569047
-3.68,2.569047
-3.67,2.569047
-3.66,2.569047
-3.65,2.569047
-3.64,2.569047
-3.63,2.569047
-3.62,2.569047
-3.61,2.569047
-3.60,2.569047
-3.59,2.569047
-3.58,2.569047
-3.57,2.569047
-3.56,2.569047
-3.55,2.569047
-3.54,2.569047
-3.53,2.569047
-3.52,2.569047
-3.51,2.569047
-3.50,2.569047
-3.49,2.569047
-3.48,2.569047
-3.47,2.569047
-3.46,2.569047
-3.45,2.569047
-3.44,2.569047
-3.43,2.569047
-3.42,2.569047
-3.41,2.569047
-3.40,2.569047
-3.39,2.569047
-3.38,2.569047
-3.37,2.569047
-3.36,2.569047
-3.35,2.569047
-3.34,2.569047
-3.33,2.569047
-3.32,2.569047
-3.31,2.569047
-3.30,2.569047
-3.29,2.569047
-3.28,2.569047
-3.27,2.569047
-3.26,2.569047
-3.25,2.569047
-3.24,2.569047
-3.23,2.569047
-3.22,2.569047
-3.21,2.569047
-3.20,2.569047
-3.19,2.569047
-3.18,2.569047
-3.17,2.569047
-3.16,2.569047
-3.15,2.569047
-3.14,2.569047
-3.13,2.569047
-3.12,2.569047
-3.11,2.569047
-3.10,2.569047
-3.09,2.569047
-3.08,2.569047
-3.07,2.569047
-3.06,2.569047
-3.05,2.569047
-3.04,2.569047
-3.03,2.569047
-3.02,2.569047
-3.01,2.569047
-3.00,2.569047
-2.99,2.569047
-2.98,2.569047
-2.97,2.569047
-2.96,2.569047
-2.95,2.569047
-2.94,2.569047
-2.93,2.569047
-2.92,2.569047
-2.91,2.569047
-2.90,2.569047
-2.89,2.569047
-2.88,2.569047
-2.87,2.569047
-2.86,2.569047
-2.85,2.569047
-2.84,2.569047
-2.83,2.569047
-2.82,2.569047
-2.81,2.569047
-2.80,2.569047
-2.79,2.569047
-2.78,2.569047
-2.77,2.569047
-2.76,2.569047
-2.75,2.569047
-2.74,2.569047
-2.73,2.569047
-2.72,2.569047
-2.71,2.569047
-2.70,2.569047
-2.69,2.569047
-2.68,2.569047
-2.67,2.569047
-2.66,2.569047
-2.65,2.569047
-2.64,2.569047
-2.63,2.569047
-2.62,2.569047
-2.61,2.569047
-2.60,2.569047
-2.59,2.569047
-2.58,2.569047
-2.57,2.569047
-2.56,2.569047
-2.55,2.569047
-2.54,2.569047
